"Feiertag","ZH","BE","LU","UR","SZ","OW","NW","GL","ZG","FR","SO","BS","BL","SH","AR","AI","SG","GR","AG","TG","TI","VD","VS","NE","GE","JU"
"Neujahrstag","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A"
"Berchtoldstag","D","A","D",,,"D",,"D","D","D","D",,,"D",,,,"d","a","A",,"A",,"D","D","B"
"Heilige Drei Könige",,,,"B","B",,,,,,,,,,,,,"a",,,"A",,,,,
"Josefstag",,,"a","B","A",,"B",,"a",,,,,,,,,"a",,,"B",,"A",,,
"Karfreitag","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A",,"A",,"A","A","A"
"Ostermontag","A","A","D","B","B","D","D","A","D","D","d","A","A","A","A","A","A","A","a","A","A","A",,"D","A","A"
"Tag der Arbeit","A",,,,,,,,,"c","C","A","A","B",,,,,"D","B","B",,,"A",,"A"
"Auffahrt","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A"
"Pfingstmontag","A","A","D","B","B","D","D","B","D","D","a","A","A","A","A","A","A","A","a","A","B","A",,"D","A","A"
"Fronleichnam",,,"A","A","A","A","A",,"A","a","a",,"a",,,"A",,"a","a",,"B",,"A","a",,"A"
"Bundesfeier","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A"
"Mariä Himmelfahrt",,,"A","A","A","A","A",,"A","a","a",,"a",,,"B",,"a","a",,"A",,"A",,,"B"
"Allerheiligen",,,"A","A","A","A","A","A","A","a","a",,,,,"B","A","a","a",,"A",,"A",,,"B"
"Mariä Empfängnis",,,"B","A","B","A","A",,"A","a","a",,,,,"B",,"a","a",,"B",,"A",,,
"Weihnachtstag","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A"
"Stephanstag","A","A","A","B","B","D","D","A","D","D","a","A","A","A","A","A","A","A","a","A","A",,,"A",,
